# R,rho,minus_Psi2_num,Phi2_num,phi1_pg_sq_over_16,phi1_pg,h00_2_num,chi_2_num,minus_Psi0_PG,minus_Phi0_PG,minus_PhiN_SP
9.968590850200605223e-05,5.675184645869505991e-06,3.376194219589009199e-06,1.392057393978239944e-06,1.384421877928167359e-06,4.706458333699627995e-03,6.752388439178018398e-06,-2.784114787956479889e-06,3.148586180859558326e-03,3.155775216971301589e-03,3.154992749003285735e-03
1.120467544052916045e-04,6.378895771488363665e-06,3.376194219572095645e-06,1.392057478302543118e-06,1.384421877927555590e-06,4.706458333698588029e-03,6.752388439144191290e-06,-2.784114956605086236e-06,3.148586180859169747e-03,3.155775216970857500e-03,3.154992749001310319e-03
1.244076003085772516e-04,7.082606897107227268e-06,3.376194219552146325e-06,1.392057696705373932e-06,1.384421877925884394e-06,4.706458333695747419e-03,6.752388439104292650e-06,-2.784115393410747864e-06,3.148586180858059524e-03,3.155775216969969321e-03,3.154992748999335336e-03
1.491292921151488981e-04,8.490029148344973957e-06,3.376194219501405663e-06,1.392058397118793560e-06,1.384421877919983115e-06,4.706458333685716380e-03,6.752388439002811327e-06,-2.784116794237587119e-06,3.148586180854118233e-03,3.155775216965972518e-03,3.154992748995384937e-03
1.738509839217210597e-04,9.897451399582748598e-06,3.376194219449797640e-06,1.392059316576609413e-06,1.384421877911262487e-06,4.706458333670893168e-03,6.752388438899595280e-06,-2.784118633153218826e-06,3.148586180848289562e-03,3.155775216960421403e-03,3.154992748710861664e-03
1.985726757282937362e-04,1.130487365082055543e-05,3.376194219405562191e-06,1.392060365467214149e-06,1.384421877900121675e-06,4.706458333651956059e-03,6.752388438811124383e-06,-2.784120730934428298e-06,3.148586180840962090e-03,3.155775216953204954e-03,3.154992732877121529e-03
2.480160593414413119e-04,1.411971815329629105e-05,3.376194219289769399e-06,1.392062672021725645e-06,1.384421877871382906e-06,4.706458333603106246e-03,6.752388438579538799e-06,-2.784125344043451289e-06,3.148586180822032787e-03,3.155775216934331162e-03,3.154992701209642127e-03
2.974594429545923029e-04,1.693456265577222150e-05,3.376194219150557840e-06,1.392065107393958130e-06,1.384421877834708497e-06,4.706458333540767223e-03,6.752388438301115681e-06,-2.784130214787916260e-06,3.148586180797829925e-03,3.155775216910461367e-03,3.154992669542162290e-03
3.963462101809070784e-04,2.256425166072481423e-05,3.376194218799276336e-06,1.392070052212499153e-06,1.384421877738962433e-06,4.706458333378018936e-03,6.752388437598552673e-06,-2.784140104424998306e-06,3.148586180734880280e-03,3.155775216847622744e-03,3.154992606207203051e-03
5.446763610204213629e-04,3.100878516815609704e-05,3.376194218077197690e-06,1.392077238099826004e-06,1.384421877541284849e-06,4.706458333042008203e-03,6.752388436154395379e-06,-2.784154476199652009e-06,3.148586180604651119e-03,3.155775216718725851e-03,3.154992511204763976e-03
6.930065118600026511e-04,3.945331867559119488e-05,3.376194217130472353e-06,1.392083924910750897e-06,1.384421877279847918e-06,4.706458332597619754e-03,6.752388434260944705e-06,-2.784167849821501794e-06,3.148586180432455528e-03,3.155775216547418438e-03,3.154992416202325334e-03
9.896668135394384464e-04,5.634238569047694887e-05,3.376194214559612161e-06,1.392095585287591353e-06,1.384421876567178748e-06,4.706458331386230258e-03,6.752388429119224322e-06,-2.784191170575182707e-06,3.148586179963164255e-03,3.155775216081235790e-03,3.154992226197447618e-03
1.434657266059549382e-03,8.167598621286008135e-05,3.376194208988547718e-06,1.392108893065425405e-06,1.384421875025247382e-06,4.706458328765267783e-03,6.752388417977095436e-06,-2.784217786130850809e-06,3.148586178947920811e-03,3.155775215071932038e-03,3.154991941190130825e-03
1.879647718581246288e-03,1.070095867353334872e-04,3.376194201369208531e-06,1.392117736918853024e-06,1.384421872916523285e-06,4.706458325180875452e-03,6.752388402738417061e-06,-2.784235473837706047e-06,3.148586177559420385e-03,3.155775213691591752e-03,3.154991656182814033e-03
2.769628623631363237e-03,1.576767877806630629e-04,3.376194179978333348e-06,1.392125075873610711e-06,1.384421866999493952e-06,4.706458315123156905e-03,6.752388359956666697e-06,-2.784250151747221422e-06,3.148586173663370236e-03,3.155775209818578730e-03,3.154991086168180449e-03
4.104599981230723851e-03,2.336775893500343294e-04,3.376194132539717813e-06,1.392122140042119383e-06,1.384421853875741227e-06,4.706458292815507254e-03,6.752388265079435625e-06,-2.784244280084238767e-06,3.148586165022171368e-03,3.155775201228672167e-03,3.154990231146230072e-03
5.439571338870911182e-03,3.096783909217298543e-04,3.376194066657955961e-06,1.392120200211946475e-06,1.384421835654445545e-06,4.706458261843095119e-03,6.752388133315911922e-06,-2.784240400423892951e-06,3.148586153024435230e-03,3.155775189302212347e-03,3.154989376124279696e-03
8.109514054326881494e-03,4.616799940751177360e-04,3.376193879584508950e-06,1.392120151179912253e-06,1.384421783919546552e-06,4.706458173904528100e-03,6.752387759169017900e-06,-2.784240302359824505e-06,3.148586118960128299e-03,3.155775155439521917e-03,3.154987666080378943e-03
1.211442812814899489e-02,6.896823988415302789e-04,3.376193460685218695e-06,1.392120033458894620e-06,1.384421668086714436e-06,4.706457977012801219e-03,6.752386921370437389e-06,-2.784240066917789239e-06,3.148586042690804110e-03,3.155775079622058499e-03,3.154985101014526946e-03
1.611934220305557414e-02,9.176848036696822267e-04,3.376192875827535578e-06,1.392119870728537120e-06,1.384421506377425720e-06,4.706457702140624984e-03,6.752385751655071155e-06,-2.784239741457074240e-06,3.148585936214587377e-03,3.155774973777170089e-03,3.154982535948674515e-03
2.412917035755620526e-02,1.373689613592846874e-03,3.376191208264312654e-06,1.392119406412490716e-06,1.384421045329674789e-06,4.706456918455197667e-03,6.752382416528625309e-06,-2.784238812824981431e-06,3.148585632641143217e-03,3.155774672002786829e-03,3.154977405816966618e-03
3.614391260640355263e-02,2.057696829450903278e-03,3.376187462331495248e-06,1.392118376979499940e-06,1.384420009685645945e-06,4.706455158074953314e-03,6.752374924662990496e-06,-2.784236753958999879e-06,3.148584950728949838e-03,3.155773994131805260e-03,3.154969710619394147e-03
4.815865488437091196e-02,2.741704046966781348e-03,3.376182222885899115e-06,1.392116996010164617e-06,1.384418561155759538e-06,4.706452695873204403e-03,6.752364445771798229e-06,-2.784233992020329234e-06,3.148583996954723574e-03,3.155773046009890948e-03,3.154962015421803028e-03
7.218813956638510387e-02,4.109718489176325366e-03,3.376167263507978689e-06,1.392112811295244314e-06,1.384414425444873726e-06,4.706445666011451791e-03,6.752334527015957377e-06,-2.784225622590488629e-06,3.148581273822059767e-03,3.155770339015484538e-03,3.154946625026539258e-03
1.082323670498016172e-01,6.161740178701245393e-03,3.376133623579028603e-06,1.392103502420357652e-06,1.384405125286109192e-06,4.706429857607329591e-03,6.752267247158057206e-06,-2.784207004840715305e-06,3.148575150175303428e-03,3.155764251660642117e-03,3.154923539433349133e-03
1.442765953180039362e-01,8.213761912904540136e-03,3.376086543172181209e-06,1.392090372947859931e-06,1.384392109296006567e-06,4.706407732946233345e-03,6.752173086344362418e-06,-2.784180745895719861e-06,3.148566579819156441e-03,3.155755732095810728e-03,3.154900453839656373e-03
2.163650552541294958e-01,1.231780557485948752e-02,3.375952064108012074e-06,1.392053062314406948e-06,1.384354930341396651e-06,4.706344535354625540e-03,6.751904128216024148e-06,-2.784106124628813896e-06,3.148542099160156482e-03,3.155731396541017197e-03,3.154854282650093340e-03
3.244977575774584677e-01,1.847387177482179288e-02,3.375649565023203236e-06,1.391968898147805994e-06,1.384271297330452527e-06,4.706202371051126064e-03,6.751299130046406471e-06,-2.783937796295611989e-06,3.148487029304869456e-03,3.155676653175287782e-03,3.154785025857794866e-03
4.326304810747766405e-01,2.462993918023329704e-02,3.375226161539054970e-06,1.391850970608279966e-06,1.384154233264288804e-06,4.706003371463796624e-03,6.750452323078109940e-06,-2.783701941216559933e-06,3.148409943067143058e-03,3.155600023864724157e-03,3.154715769051935192e-03
6.488960198016335834e-01,3.694207921343223983e-02,3.374016848896842224e-06,1.391514287753129377e-06,1.383819854017741118e-06,4.705434907028664508e-03,6.748033697793684449e-06,-2.783028575506258754e-06,3.148189736137507744e-03,3.155381124043898922e-03,3.154577255381462494e-03
