# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
1.000000000000000048e-04,0.000000000000000000e+00,1.000000000000000000e+00,1.000002523995535242e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000734286418558e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000734284931747e+00,3.163543445811355625e-37,1.000000000000000000e+00,1.000002523987611358e+00,2.948775990690456525e-25,-4.499740612590336373e-36,-2.523994725071923816e-06,8.440219465615173172e-29,-7.342860630162926308e-07
2.615036876189942561e+01,3.015967396262603933e-02,1.000000000602058403e+00,1.000002524296485618e+00,7.872024629049452040e-09,1.000000000000001332e+00,1.000000734286419668e+00,1.741964490113951342e-14,1.000000000000000888e+00,1.000000734284932413e+00,1.095033246665518099e-14,1.000000000403213907e+00,1.000002524170572116e+00,5.272097598638645672e-09,-3.308986729955662222e-16,-2.523091558940265133e-06,8.081937611867675782e-18,-7.342860612097535723e-07
5.230073752379885121e+01,6.031934792525207867e-02,1.000000001812609618e+00,1.000002524901303147e+00,4.740040993094512209e-08,1.000000000000015099e+00,1.000000734286429882e+00,3.948452844258289793e-13,1.000000000000010658e+00,1.000000734284939075e+00,2.815468319503417606e-13,1.000000001612063594e+00,1.000002524780252644e+00,4.215605535090083347e-08,-1.060300515276595734e-15,-2.521275274020721593e-06,2.584941373087140915e-17,-7.342860442412554071e-07
7.845110628569828748e+01,9.047902188787812494e-02,1.000000003631553724e+00,1.000002525809911225e+00,1.424497036077052336e-07,1.000000000000051070e+00,1.000000734286456971e+00,2.003259163631044289e-12,1.000000000000048184e+00,1.000000734284966386e+00,1.886970141666094009e-12,1.000000003624141209e+00,1.000002525786843677e+00,1.421589460745204088e-07,-2.187233635543484124e-15,-2.518545994908556216e-06,5.329621506008565732e-17,-7.342859991657114458e-07
1.046014750475977024e+02,1.206386958505041573e-01,1.000000006628637195e+00,1.000002527304852062e+00,3.466826140602032216e-07,1.000000000000145217e+00,1.000000734286527360e+00,7.594965176896827674e-12,1.000000000000140776e+00,1.000000734285035442e+00,7.361882911896037180e-12,1.000000006435259658e+00,1.000002527181826251e+00,3.365688224460770015e-07,-4.016336072290213109e-15,-2.514046769857770064e-06,9.365362710981866374e-17,-7.342858817988224061e-07
1.307518438094971316e+02,1.507983698131301897e-01,1.000000010238628168e+00,1.000002529103069415e+00,6.693597482329525815e-07,1.000000000000365930e+00,1.000000734286693005e+00,2.392297899756493269e-11,1.000000000000330624e+00,1.000000734285179327e+00,2.161401736466293081e-11,1.000000010040411613e+00,1.000002528994667461e+00,6.564011673133684940e-07,-6.211092416782133890e-15,-2.508625005957458486e-06,1.468475537606256177e-16,-7.342856059415399978e-07
1.569022125713965750e+02,1.809580437757562499e-01,1.000000014445833862e+00,1.000002531196676481e+00,1.133291630309204867e-06,1.000000000000730083e+00,1.000000734286965898e+00,5.727579243494672896e-11,1.000000000000697220e+00,1.000000734285450887e+00,5.469737279701253181e-11,1.000000014431157158e+00,1.000002531163541653e+00,1.132140247003765824e-06,-8.761916899086667060e-15,-2.502304202629034569e-06,2.096478787734952873e-16,-7.342851508559095632e-07
1.830525813332959899e+02,2.111177177383822823e-01,1.000000019784699434e+00,1.000002533845655961e+00,1.810820110531170960e-06,1.000000000001262546e+00,1.000000734287364912e+00,1.155561177258591693e-10,1.000000000001291856e+00,1.000000734285892978e+00,1.182350302405016101e-10,1.000000019600040035e+00,1.000002533732863519e+00,1.793918968475644232e-06,-1.197943466215702087e-14,-2.494275452886720131e-06,2.820720039533793857e-16,-7.342844854065342555e-07
2.092029500951954049e+02,2.412773917010083147e-01,1.000000025729253172e+00,1.000002536788653140e+00,2.691317764033540417e-06,1.000000000002228884e+00,1.000000734288089443e+00,2.331445273568512656e-10,1.000000000002188250e+00,1.000000734286563109e+00,2.288827292362719224e-10,1.000000025536532000e+00,1.000002536677960130e+00,2.671158924578785672e-06,-1.554697693736773111e-14,-2.485329344187359331e-06,3.703674206173051669e-16,-7.342832773462492914e-07
2.353533188570948198e+02,2.714370656636343471e-01,1.000000032249046766e+00,1.000002540010599628e+00,3.794959975636789051e-06,1.000000000003569145e+00,1.000000734289093973e+00,4.200050582113747959e-10,1.000000000003469447e+00,1.000000734287526338e+00,4.082610428269799838e-10,1.000000032227615909e+00,1.000002539972832949e+00,3.792438171450343675e-06,-1.944632963221957519e-14,-2.475511705104437740e-06,4.681301134736890981e-16,-7.342816019676486047e-07
2.615036876189942632e+02,3.015967396262603795e-01,1.000000039835443832e+00,1.000002543743151007e+00,5.208557526834464534e-06,1.000000000005327294e+00,1.000000734290412030e+00,6.965535341135654091e-10,1.000000000005262457e+00,1.000000734288873705e+00,6.880847478924489860e-10,1.000000039663143436e+00,1.000002543648097486e+00,5.186029125355092801e-06,-2.394670841787344326e-14,-2.464071463983634984e-06,5.753332990947105421e-16,-7.342794038608395177e-07
2.876540563808936781e+02,3.317564135888864119e-01,1.000000048008607312e+00,1.000002547751781545e+00,6.904934981890220087e-06,1.000000000007765122e+00,1.000000734292239013e+00,1.116834403369208291e-09,1.000000000007736478e+00,1.000000734290717341e+00,1.112719646380554341e-09,1.000000047824086913e+00,1.000002547640471695e+00,6.878396300818857027e-06,-2.876742995009462282e-14,-2.451733769457593626e-06,6.951038496720930944e-16,-7.342763557726665191e-07
3.138044251427931499e+02,3.619160875515124998e-01,1.000000056724961839e+00,1.000002552015459401e+00,8.900271515372140801e-06,1.000000000011081580e+00,1.000000734294724358e+00,1.738724436162339697e-09,1.000000000010955237e+00,1.000000734293121862e+00,1.718901226864592183e-09,1.000000056698218565e+00,1.000002551979051191e+00,8.896075941458585454e-06,-3.388358677743590960e-14,-2.438564740210830983e-06,8.272241998365044287e-16,-7.342722089255073592e-07
3.399547939046925649e+02,3.920757615141385322e-01,1.000000066426549372e+00,1.000002556732964010e+00,1.129101119595621129e-05,1.000000000015173418e+00,1.000000734297790794e+00,2.579138107691965816e-09,1.000000000015046409e+00,1.000000734296186744e+00,2.557532186938224042e-09,1.000000066268330379e+00,1.000002556645336327e+00,1.126411828245840185e-05,-3.951707663767333463e-14,-2.423879071932600416e-06,9.685686265286415768e-16,-7.342670920094585615e-07
3.661051626665919798e+02,4.222354354767645646e-01,1.000000076684552930e+00,1.000002561700223058e+00,1.403730428508631226e-05,1.000000000020105029e+00,1.000000734301485839e+00,3.680277411005247239e-09,1.000000000020146329e+00,1.000000734300019456e+00,3.687851369600427035e-09,1.000000076511307290e+00,1.000002561595596529e+00,1.400559229628032238e-05,-4.542913965960814648e-14,-2.408330325701952807e-06,1.119162996715291145e-15,-7.342609246215721809e-07
